# xmin, ymin, xmax, ymax, varxc, varyc, varw, varh
0.000000000000000000e+00,0.000000000000000000e+00,6.315789371728897095e-02,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.386857062578201294e-02,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.851323366165161133e-02,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.947368711233139038e-02,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.101843640208244324e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.118345212191343307e-03,0.000000000000000000e+00,7.482901960611343384e-02,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.578947342932224274e-02,0.000000000000000000e+00,1.157894730567932129e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.365001499652862549e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.043413534760475159e-02,0.000000000000000000e+00,1.011448130011558533e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.210526496171951294e-02,0.000000000000000000e+00,1.421052664518356323e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.139458432793617249e-02,0.000000000000000000e+00,1.628159433603286743e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.674992501735687256e-02,0.000000000000000000e+00,1.274605989456176758e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.842105090618133545e-02,0.000000000000000000e+00,1.684210598468780518e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.771037399768829346e-02,0.000000000000000000e+00,1.891317367553710938e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.306571096181869507e-02,0.000000000000000000e+00,1.537763923406600952e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.473684430122375488e-02,0.000000000000000000e+00,1.947368383407592773e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.402616739273071289e-02,0.000000000000000000e+00,2.154475152492523193e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.093815043568611145e-01,0.000000000000000000e+00,1.800921857357025146e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.210526302456855774e-01,0.000000000000000000e+00,2.210526317358016968e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
